"asset_id","asset_type","asset_name","category","price","expected_output_path","reference_image_path","generated_image_upload","status","prompt"
"prop_apt_1","Property","Silver Lake Studio","Los Angeles","85000","assets/lifestyle/properties/prop_apt_1.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Silver Lake Studio, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_starter_condo","Property","West Hollywood Condo","Los Angeles","650000","assets/lifestyle/properties/prop_starter_condo.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: West Hollywood Condo, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_la_loft","Property","Downtown Artist Loft","Los Angeles","1500000","assets/lifestyle/properties/prop_la_loft.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Downtown Artist Loft, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_suburban_house","Property","Sherman Oaks House","Los Angeles","2200000","assets/lifestyle/properties/prop_suburban_house.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Sherman Oaks House, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_hollywood_hills_home","Property","Hollywood Hills Villa","Los Angeles","6500000","assets/lifestyle/properties/prop_hollywood_hills_home.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Hollywood Hills Villa, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_beverly_hills_mansion","Property","Beverly Hills Estate","Los Angeles","45000000","assets/lifestyle/properties/prop_beverly_hills_mansion.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Beverly Hills Estate, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_malibu_beach_house","Property","Malibu Glass House","Los Angeles","85000000","assets/lifestyle/properties/prop_malibu_beach_house.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Malibu Glass House, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_the_one","Property","'The One' Bel Air","Los Angeles","350000000","assets/lifestyle/properties/prop_the_one.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: 'The One' Bel Air, a Los Angeles property. Make it a full exterior establishing shot like a retro side-scrolling game background: Southern California street scene, palm trees, blue sky, sunlit stucco, low hills in the distance. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_brooklyn_brownstone","Property","Park Slope Brownstone","New York","4500000","assets/lifestyle/properties/prop_brooklyn_brownstone.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: Park Slope Brownstone, a New York property. Make it a full exterior establishing shot like a retro side-scrolling game background: dense New York street scene, stone facades, traffic lights, narrow sidewalks, layered city background. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
"prop_manhattan_penthouse","Property","TriBeCa Penthouse","New York","32000000","assets/lifestyle/properties/prop_manhattan_penthouse.webp","/Users/zeesh/Downloads/ChatGPT Image Jul 3, 2026, 12_02_43 AM.png","","TODO","Create a full-scene retro pixel-art game image in the same feel as the provided reference image, crisp high-detail 2D side-view pixel art, modern polished pixel clusters, layered foreground and background, bright cinematic lighting, real environment, not an inventory icon, not a UI card, not a boxed object, no border, no frame, no text, no readable logos, no watermark, keep the main subject fully visible, readable, centered, and uncropped. Subject: TriBeCa Penthouse, a New York property. Make it a full exterior establishing shot like a retro side-scrolling game background: dense New York street scene, stone facades, traffic lights, narrow sidewalks, layered city background. Show the architecture with detailed facade pixels, windows, entry, sidewalk or driveway, and enough sky/background around it. Wide 16:9 composition, PNG-ready."
