id,type,name,output,prompt
"prop_apt_1","Property","Silver Lake Studio","assets/lifestyle/properties/prop_apt_1.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Silver Lake Studio in Los Angeles, starter home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_starter_condo","Property","West Hollywood Condo","assets/lifestyle/properties/prop_starter_condo.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
West Hollywood Condo in Los Angeles, starter home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_la_loft","Property","Downtown Artist Loft","assets/lifestyle/properties/prop_la_loft.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Downtown Artist Loft in Los Angeles, premium home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_suburban_house","Property","Sherman Oaks House","assets/lifestyle/properties/prop_suburban_house.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Sherman Oaks House in Los Angeles, premium home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_hollywood_hills_home","Property","Hollywood Hills Villa","assets/lifestyle/properties/prop_hollywood_hills_home.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Hollywood Hills Villa in Los Angeles, premium home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_beverly_hills_mansion","Property","Beverly Hills Estate","assets/lifestyle/properties/prop_beverly_hills_mansion.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Beverly Hills Estate in Los Angeles, luxury property. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_malibu_beach_house","Property","Malibu Glass House","assets/lifestyle/properties/prop_malibu_beach_house.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Malibu Glass House in Los Angeles, luxury property. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_the_one","Property","'The One' Bel Air","assets/lifestyle/properties/prop_the_one.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
'The One' Bel Air in Los Angeles, ultra luxury trophy property. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_brooklyn_brownstone","Property","Park Slope Brownstone","assets/lifestyle/properties/prop_brooklyn_brownstone.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
Park Slope Brownstone in New York, premium home. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
"prop_manhattan_penthouse","Property","TriBeCa Penthouse","assets/lifestyle/properties/prop_manhattan_penthouse.png","MASTER STYLE FOR EVERY IMAGE
Retro pixel game asset, polished mobile life-sim inventory art, 2.5D pixel-art look, clean silhouette, charming high-detail pixel clusters, cinematic luxury lighting, dark transparent-feeling studio backdrop but no actual transparency required, centered hero object, readable at small card size, no text, no labels, no logos, no watermark, no people unless the asset is clothing on a faceless mannequin, no UI frame. Use a square 1:1 composition.

IMPORTANT OUTPUT
Save each generated image using the exact output filename shown below. PNG is preferred.

IMAGE PROMPT
TriBeCa Penthouse in New York, luxury property. Show an exterior hero view with architecture that matches the name: apartment/condo as stylish urban building, villa/estate as wide luxury home, tower/penthouse as tall skyline residence, island as private island villa, chalet/cabin as scenic retreat. Retro pixel-art, warm window glow, tasteful environment hints, premium game inventory icon, no text."
